ID ANIMAL,NOMBRE ANIMAL,NOMBRE_CIENTIFICO
1,raton chinchilla comun,Abrocoma bennetti
2,raton chinchilla de cola corta,Abrocoma cinerea
3,raton lanudo comun,Abrothrix longipilis
4,peuquito,Accipiter chilensis
5,tunduco de Porter,Aconaemys porteri
6,pancora,Aegla abtao abtao
7,pancora,Aegla abtao riolimayana
8,pancora,Aegla alacalufi
9,pancora,Aegla bahamondei
10,pancora,Aegla concepcionensis
11,pancora,Aegla denticulata
12,pancora,Aegla expansa
13,pancora,Aegla laevis laevis
14,pancora,Aegla laevis talcahuano
15,pancora,Aegla manni
16,pancora,Aegla maulensis
17,pancora,Aegla neuquensis neuquensis
18,pancora,Aegla papudo
19,pancora,Aegla pewenchae
20,pancora,Aegla rostrata
21,pancora,Aegla spectabilis
22,sapo espinudo austral,Alsodes australis
23,sapo de Barros,Alsodes barrioi
24,sapo de Hugo,Alsodes hugoi
25,rana de pecho espinoso de Tolhuaca,Alsodes igneus
26,sapo kawaskar,Alsodes kaweshkari
27,sapo de pecho espinoso de Potrero,Alsodes laevis
28,sapo de monte,Alsodes montanus
29,sapo,Alsodes monticola
30,sapo arriero,Alsodes nodosus
31,rana de pecho espinoso de Oncol,Alsodes norae
32,sapo,Alsodes tumultuosus
33,sapo de Vanzolini,Alsodes vanzolinii
34,sapo de pecho espinoso de verrugas,Alsodes verrucosus
35,sapo de pecho espinoso de Malleco,Alsodes vittatus
36,,Alsophis elegans
37,caracol terrestre Amphidoxa,Amphidoxa arctispira
38,caracol terrestre Amphidoxa,Amphidoxa ceroides
39,caracol terrestre Amphidoxa,Amphidoxa helicophantoides 
40,caracol terrestre Amphidoxa,Amphidoxa marmorella
41,caracol terrestre Amphidoxa,Amphidoxa pusio
42,caracol terrestre Amphidoxa,Amphidoxa quadrata
43,caracol terrestre Amphidoxa,Amphidoxa selkirki 
44,caracol terrestre Amphidoxa,Amphidoxa tessellata
45,cachudito de Juan Fernandez ,Anairetes fernandezianus
46,pato gargantillo,Anas bahamensis
47,pato cuchara,Anas platalea
48,gaviotin de San Felix,Anous stolidus
49,rayadito de Mas Afuera,Aphrastura masafuerae
50,peladilla,Aplochiton marinus
51,peladilla,Aplochiton taeniatus
52,peladilla,Aplochiton zebra
53,lobo fino austral,Arctocephalus australis
54,lobo fino antartico,Arctocephalus gazella
55,lobo fino de Juan Fernandez,Arctocephalus philippii
56,lobo fino subantartico,Arctocephalus tropicalis
57,garza cuca,Ardea cocoi
58,nuco,Asio flammeus
59,sapo de Puerto Eden,Atelognathus ceii
60,sapo,Atelognathus grandisonae
61,rana de Jeinimeni,Atelognathus jeinimenensis
62,perdicita cordillerana,Attagis gayi
63,raton de la puna,Auliscomys sublimis
64,marsopa anteojillo,Australophocoena dioptrica
65,pejerrey de mar,Austromenidia laticlavia
66,ballena minke,Balaenoptera acutorostrata
67,ballena sei- rorcual bacalao- rorcual de Rudolphi,Balaenoptera borealis
68,ballena de Bryde o rorcual de Eden,Balaenoptera brydei
69,ballena azul,Balaenoptera musculus
