ID_ANIMAL,NOMBRE,SEXO
106,ipouga,Hembra
177,gepovefiuo,Macho
445,icouteavuigo,Hembra
280,covieapede,Hembra
266,uauodo,Macho
340,ya,Macho
373,ufuudiuiuono,Hembra
26,epuibiaqiewe,Hembra
399,unoudoigeisi,Macho
208,udaega,Hembra
437,duaeboxidi,Hembra
334,uacedi,Hembra
131,bogeio,Macho
169,eeoeioileapa,Hembra
75,la,Hembra
283,ugiufoucoede,Hembra
283,poeoxe,Hembra
221,fadapi,Hembra
154,cotopogeii,Hembra
169,oeaubu,Hembra
59,qipipo,Hembra
160,quhefetalo,Hembra
403,debapi,Hembra
265,va,Macho
189,co,Macho
359,ca,Macho
260,uooosi,Macho
284,iaoepo,Macho
273,iuaedi,Macho
438,dipibovavo,Macho
378,ubaiei,Macho
250,beiaduouba,Macho
450,ueeavieseuci,Macho
434,efeuaeefiotu,Macho
248,ge,Macho
191,filigu,Hembra
273,aluefeefoipu,Hembra
139,eseuqouqoeii,Hembra
3,uioiyo,Hembra
354,soaiuoxada,Macho
375,judoueiubu,Macho
58,videoe,Hembra
195,sicieu,Macho
311,padogugeoo,Hembra
88,uciiti,Hembra
404,dokaua,Hembra
203,goaipagido,Macho
415,xodaueeoyi,Hembra
315,axiihuuoouua,Hembra
325,soiefu,Macho
393,veiudobuce,Hembra
187,nuiehuaadi,Hembra
303,di,Hembra
286,setocu,Hembra
72,eciofo,Macho
108,dideya,Macho
312,ouruoigeho,Macho
97,cutufa,Hembra
39,gaseqipapi,Macho
449,eeeudu,Hembra
13,esaipo,Macho
38,bubaeeaape,Hembra
344,peqosaeego,Hembra
274,ivoapi,Macho
18,vipikabuge,Macho
240,fegudi,Macho
270,ueiuco,Hembra
336,ri,Macho
321,di,Macho
361,jieasu,Hembra
123,uniepaeliidu,Macho
366,epiueu,Hembra
323,su,Macho
436,unaadeediese,Macho
93,ugiipi,Macho
247,faqiiu,Macho
37,pu,Hembra
168,eesapu,Macho
429,vu,Hembra
238,oqooliuoauze,Hembra
59,daiaue,Macho
9,uoiegeueooru,Macho
162,gi,Hembra
56,emiada,Hembra
131,da,Hembra
185,amaigo,Macho
165,ve,Hembra
126,eevadi,Hembra
216,uhianuibautu,Macho
292,aeoieoisianu,Hembra
174,utuaveebiada,Macho
419,esoage,Hembra
420,taouai,Macho
321,vanadofoye,Hembra
248,sucobivaao,Hembra
112,opiado,Hembra
190,adearuipeudi,Hembra
369,ufiapi,Macho
33,iedaia,Hembra
383,fa,Macho
23,fupugevipo,Hembra
66,fo,Hembra
44,poiega,Hembra
72,vauieoqudo,Hembra
92,ipoidoaciaoi,Macho
291,utiiee,Macho
312,agoawieqeipi,Macho
175,uozopeeapi,Hembra
267,ca,Hembra
70,fo,Macho
398,uasaiunaio,Macho
95,eeaoeeeuaata,Hembra
409,uraebi,Hembra
103,eviifooeaiti,Macho
63,uuzove,Hembra
446,eeiusoideepe,Hembra
418,iuieiooeia,Hembra
195,eoauhafopo,Hembra
378,iueaae,Hembra
66,buseiegaso,Hembra
308,odoomu,Hembra
6,ivoaio,Hembra
381,elaaueafoape,Macho
363,ao,Macho
197,pa,Macho
367,iieaou,Macho
369,obeapa,Macho
120,pogode,Macho
381,afiixueeuioo,Macho
147,ueaiie,Macho
102,upaabieleiba,Macho
410,pi,Hembra
366,paeopeyeko,Hembra
281,eeoaca,Hembra
224,adeageifeiue,Hembra
113,gatevi,Hembra
366,cetodeuige,Macho
180,imoaiiaaiuxu,Hembra
446,anuidi,Macho
1,oseepi,Hembra
241,asuusaikoofu,Hembra
410,ce,Hembra
253,isaope,Macho
91,defaiusope,Macho
189,iloogo,Hembra
437,povofa,Hembra
110,de,Macho
166,kepuoa,Hembra
46,pe,Macho
162,pilufudico,Macho
174,oodarifebe,Hembra
14,segeoo,Hembra
351,auuaauieaazo,Macho
155,iueipeiseoca,Macho
90,ie,Hembra
358,diterivoie,Macho
151,epuafi,Macho
247,bopadogocu,Macho
133,ueduqufota,Macho
196,ou,Macho
443,isuatu,Hembra
126,gu,Hembra
238,cieani,Macho
372,buouce,Macho
334,vuridivugi,Hembra
90,eakekigeuu,Hembra
41,gabazuguku,Hembra
234,eidasi,Hembra
391,eiiode,Hembra
410,oxiegi,Macho
416,ueuesiuduade,Hembra
346,bucute,Macho
348,upiubo,Macho
145,oeuafouteocu,Macho
421,uiaiguguko,Hembra
125,oboeluovoeeo,Macho
363,wadipo,Hembra
18,savide,Hembra
277,paoavufaxe,Hembra
225,dueapu,Macho
309,oveoja,Macho
432,du,Hembra
46,ueiapu,Macho
317,vedeuiseai,Macho
19,culudofugi,Macho
178,bidaoadari,Hembra
29,iouieoeriope,Hembra
165,de,Hembra
244,ocuudi,Hembra
371,pedevaiofi,Macho
329,eeyiyuveuo,Macho
178,uuuuvuesiali,Hembra
125,sifefi,Macho
184,aduabeumuope,Hembra
414,pasafeiose,Macho
210,kipefi,Macho
310,igoidooouuto,Hembra
43,pe,Hembra
214,dobuiedupe,Hembra
443,ca,Macho
412,aluaeiisiiie,Hembra
242,eoeego,Macho
308,dibibe,Macho
137,cofoou,Hembra
339,heeigegude,Hembra
63,ge,Hembra
330,puleaapepu,Hembra
66,catipaseaa,Macho
192,iyieju,Macho
142,abauaouuuieo,Macho
190,aaeaboaiiipe,Macho
222,ueaefaeoeeeu,Hembra
450,douaai,Macho
69,luougiieea,Hembra
375,cosiaa,Hembra
214,gojajo,Macho
119,auaaioihoeso,Macho
201,aduisuepiufa,Macho
141,bugagi,Macho
188,ibiolaupuodu,Hembra
8,uiaieemise,Macho
295,afoaoi,Macho
268,xieioeguce,Hembra
169,iucuti,Hembra
29,oseepeaeaeoi,Macho
310,igoepu,Hembra
408,aguoiiagiuhe,Macho
80,ufiofi,Hembra
413,deeebu,Macho
330,veruzo,Macho
197,kupevidoua,Hembra
383,padixa,Macho
237,dexepe,Hembra
247,jadezu,Hembra
12,ofuaze,Macho
147,io,Macho
438,opiidooeueda,Hembra
92,icueaoiuaiii,Macho
308,do,Macho
253,medasulifi,Hembra
102,ueiavaucuobe,Macho
183,avuupu,Macho
250,so,Hembra
275,ea,Macho
361,uieoou,Macho
394,ye,Macho
431,omeagu,Macho
224,odaubaagaeba,Macho
246,dibate,Hembra
228,otiaboodiedo,Hembra
421,odaoda,Hembra
38,dubaxo,Hembra
280,ipuowausooka,Hembra
158,cupaaa,Macho
376,yadepu,Hembra
200,wepugigipo,Hembra
66,iovudo,Macho
12,iomodoiogo,Hembra
114,ibaori,Macho
232,ua,Macho
226,vajoaa,Macho
115,euaadi,Hembra
210,adiohoecueaa,Macho
203,na,Macho
74,co,Hembra
440,gi,Hembra
167,du,Macho
48,eueuqe,Macho
326,gagiauduui,Macho
325,wo,Hembra
31,dimeii,Macho
183,aduaiu,Macho
306,baoepa,Hembra
362,sa,Hembra
294,fagivefate,Macho
282,anuebaoxiate,Macho
402,ezoedi,Macho
385,ilauvi,Macho
148,fi,Hembra
309,aevewihude,Hembra
70,ga,Hembra
259,ma,Macho
222,iciemo,Macho
393,zi,Macho
437,nucige,Macho
132,fo,Macho
321,neuape,Hembra
279,caeeuugebi,Macho
157,ka,Hembra
71,ibiiba,Macho
449,au,Macho
27,vupuui,Hembra
294,auiueoiciage,Macho
28,inoaioapiiji,Macho
263,ci,Hembra
135,pueude,Hembra
251,di,Macho
25,ei,Macho
161,apiiai,Hembra
432,cepisi,Macho
269,azaubu,Hembra
214,dotade,Macho
300,le,Hembra
85,epuusoicaibo,Macho
190,oruoqe,Hembra
54,ma,Hembra
302,adeivu,Macho
438,yicemi,Hembra
158,ce,Macho
109,uu,Hembra
281,kudaduduiu,Hembra
329,avuoueiauoco,Hembra
335,udeeso,Macho
19,afeapeipaupa,Hembra
356,pe,Macho
21,eibusefaii,Macho
393,abiubeoraovu,Macho
38,axoaaiiguucu,Macho
29,itoeie,Macho
319,ofaemeesuoja,Macho
26,bagubucabe,Hembra
368,pi,Macho
263,upeuvaaraeia,Hembra
173,eubieo,Hembra
91,yeyiqo,Hembra
253,ipuigoudaihi,Macho
24,cegabi,Hembra
197,be,Macho
230,bi,Macho
10,goeise,Hembra
392,odiega,Macho
58,odeugi,Hembra
375,uo,Macho
116,eeiobi,Macho
180,aboeeuedousa,Macho
386,iwaoeiexeuse,Hembra
436,papebabusi,Hembra
432,doradedife,Macho
418,iziusu,Hembra
378,idaeciavueea,Hembra
262,sueaoueefa,Macho
42,eifadoaoso,Macho
179,xa,Macho
87,upoepa,Hembra
187,ipeooeabuuso,Macho
435,peoizeboeo,Hembra
424,iwaaeiifaidu,Macho
60,wo,Macho
273,abeeeu,Hembra
49,ocuovi,Hembra
237,lu,Macho
306,uwiusoipaugo,Hembra
316,ba,Macho
366,edauvaikeusi,Macho
436,po,Macho
365,sogodacoso,Macho
123,ipiapo,Macho
206,duwadueobi,Macho
166,eudigaceju,Hembra
119,aguolu,Hembra
135,aauopavado,Hembra
208,adiegioiiitu,Hembra
6,tu,Hembra
126,idiuii,Macho
369,di,Hembra
357,wecaeasape,Hembra
185,bogeuomibu,Hembra
21,pepopo,Macho
332,ecaetu,Hembra
322,ei,Hembra
156,edeeuaaseuea,Macho
153,iigibu,Macho
322,eucilicoda,Hembra
122,oiouco,Hembra
139,aaaufa,Macho
192,boyobo,Macho
275,zovota,Hembra
69,uzeosiaauupe,Macho
168,ivuutoiduuca,Hembra
86,gehuqapiae,Hembra
440,si,Macho
428,fivasotewu,Hembra
449,oogaaateto,Hembra
314,apaaiiapaoti,Hembra
262,iuvoeasupo,Hembra
110,puiudi,Macho
36,eeaige,Macho
158,tidioi,Hembra
39,cepibo,Hembra
284,apuedaapuepe,Macho
391,to,Macho
281,ooguga,Hembra
88,digigavose,Hembra
130,oalouoeuoe,Hembra
361,edeapiadoifu,Hembra
244,oniovi,Hembra
286,socide,Macho
348,eetoia,Macho
16,aaouaabise,Macho
168,aeeudeebooce,Macho
285,pinefa,Macho
50,ahiipoizueku,Hembra
51,uo,Hembra
162,eiiida,Hembra
136,udiuleuteuii,Hembra
71,foeigopive,Macho
44,papebi,Macho
130,tatuvoxofa,Macho
381,abiejoediena,Macho
73,dibeai,Macho
177,tatapi,Macho
286,epuede,Hembra
445,dufaviduxu,Hembra
435,fibanaoove,Hembra
419,pisicu,Hembra
245,aiiafi,Macho
97,di,Macho
366,buuaiicobe,Hembra
362,va,Macho
365,ketopu,Hembra
328,oqeudouciaba,Hembra
63,se,Macho
33,te,Macho
123,ideade,Macho
446,oeeovu,Hembra
320,uhuipi,Hembra
189,ucoahoicoipi,Hembra
388,duuijojuuo,Macho
86,vi,Hembra
133,eavusu,Macho
158,eeeabopamu,Macho
96,sa,Macho
39,ifooaoiuuese,Macho
159,vahufeuoje,Hembra
107,lagadusava,Macho
440,hiviqi,Macho
410,titofi,Hembra
332,odaoiaepoiro,Hembra
422,eueipi,Hembra
203,fu,Macho
333,oa,Macho
445,zaoocucuci,Macho
303,vobaci,Macho
334,euvugovabu,Macho
102,pulito,Macho
11,usaubeedoupo,Hembra
289,ozoufeopaone,Hembra
411,goseeadueo,Macho
419,vuceve,Hembra
9,eipuia,Macho
319,vupioieake,Macho
21,auiueiifeiia,Hembra
102,ooaudaufuefo,Macho
144,oubaio,Macho
53,pa,Hembra
124,gepeoi,Hembra
4,coviaudepa,Hembra
86,ehuegeeyaesu,Hembra
25,fe,Macho
58,to,Hembra
345,du,Hembra
31,eo,Hembra
153,ba,Macho
384,zovawo,Macho
431,uu,Macho
215,yipecalape,Macho
276,nidebedapa,Hembra
372,suvavo,Hembra
4,hi,Macho
130,aaousa,Hembra
314,dudifi,Macho
113,cofefugite,Macho
136,esiuheupeava,Macho
117,aiaesuueaafo,Hembra
371,gu,Hembra
132,lebopo,Hembra
295,iduufuogeeai,Macho
341,micuii,Hembra
15,gutese,Macho
447,susadonose,Hembra
424,io,Macho
13,ifiaruusuupi,Hembra
76,ipuupeafeifo,Hembra
238,copenegipu,Hembra
27,le,Macho
334,ifiosa,Hembra
129,uooovuuwaati,Hembra
98,epuubauhoieo,Hembra
193,oraoeeamoide,Hembra
22,eyuiciivoitu,Macho
349,ualieu,Macho
49,tu,Hembra
156,gagedu,Macho
385,ee,Macho
286,epeedi,Hembra
60,ugiutiupiesu,Macho
367,eueipacidu,Macho
37,otuobu,Hembra
294,buuahuioca,Hembra
204,pesebu,Hembra
202,ee,Macho
128,uunicayeci,Hembra
127,nicoso,Macho
441,mamiciiupo,Hembra
208,ivauqi,Hembra
58,iuiagouquagi,Macho
90,wedaao,Macho
265,aseivu,Hembra
275,upooii,Macho
309,cesabozuji,Hembra
451,ravelumepa,Hembra
393,uieageeoci,Hembra
234,iu,Hembra
370,nu,Hembra
240,uuuupefede,Hembra
76,dedacudafa,Macho
131,pu,Macho
296,gu,Macho
276,odiaja,Macho
83,sosedu,Macho
314,oieigupexi,Macho
17,uoeudi,Hembra
351,yilopifije,Hembra
248,eaioxo,Macho
376,ocuawa,Hembra
305,dewibopeca,Macho
448,tusecivueu,Macho
376,obaoii,Hembra
340,iteulaemeuda,Macho
79,icaucoauaemo,Hembra
339,guvecu,Hembra
100,acuapaegoobi,Macho
2,iduooaaceuma,Hembra
346,utueee,Hembra
136,ipougo,Hembra
141,oaeetu,Macho
190,icioto,Hembra
423,iooedu,Macho
133,iduadiicaobo,Hembra
195,aouidu,Macho
109,oa,Hembra
73,hafigufaei,Hembra
186,dadivuiiga,Hembra
315,docohisuoo,Macho
331,ieaudoogiefo,Hembra
396,gonuheaedo,Macho
41,pofovudoni,Macho
67,efoueoivuuwa,Macho
251,igioeaodeava,Macho
406,oseoza,Hembra
131,ideaea,Hembra
403,udiose,Hembra
182,ieeigu,Macho
438,ge,Hembra
84,iuoodoaosa,Hembra
391,amiugeuvoova,Macho
360,zuausa,Macho
25,paduyavovi,Macho
238,cuouqe,Macho
289,ideofaiyeose,Hembra
308,ua,Macho
176,eabueerigo,Macho
297,opoido,Macho
114,go,Hembra
15,uyuaui,Macho
10,suvada,Hembra
34,noaeco,Macho
300,vi,Macho
412,iouadaifoepu,Macho
293,uo,Hembra
93,se,Macho
304,kaeisaiaiu,Hembra
314,afeota,Hembra
33,weveyo,Macho
234,oxooioesooce,Macho
450,dolupi,Macho
283,safodu,Macho
370,vu,Macho
273,uduivoogioue,Hembra
79,oueumi,Macho
130,osaegeecoivi,Macho
286,mipaeo,Macho
334,afaobo,Macho
435,mayieepiie,Hembra
412,baeemibido,Hembra
122,afuoeo,Macho
31,vuauca,Hembra
271,ueaeraageoeu,Macho
43,lo,Macho
224,ga,Hembra
138,iu,Macho
45,ubooio,Macho
427,dugepu,Hembra
325,vepigi,Hembra
87,udeuaaaduefa,Hembra
325,divuiu,Hembra
212,dueeluseyi,Macho
296,gogovo,Hembra
273,ogeisuefaepo,Macho
226,fadiboroco,Hembra
380,edeopu,Hembra
292,se,Macho
273,de,Macho
310,egouboabueve,Hembra
437,opaodo,Macho
219,odoipiepeuai,Macho
42,iuaose,Hembra
384,utoegoeviibi,Hembra
83,zo,Hembra
74,opaogo,Macho
86,deiocusiwu,Macho
111,badefenobi,Hembra
279,deciva,Hembra
293,oe,Hembra
208,uvoafaoyaija,Hembra
36,idiupiayaadi,Hembra
249,dueeru,Hembra
139,uuoauidaoe,Hembra
391,feduhi,Macho
125,tuqogu,Hembra
247,lueuuo,Hembra
405,ebaisiuguuji,Hembra
47,wogusonobo,Macho
344,acuamooieooi,Macho
273,nepifa,Macho
148,odeiyi,Macho
144,eciogiooiocu,Hembra
235,aeeoeo,Macho
64,ibaoceodiesu,Macho
177,ogaapauioudo,Macho
321,ebaidiogeice,Macho
178,iiiuiiiueede,Macho
433,edoebooxeomi,Macho
153,uveika,Macho
56,do,Macho
379,do,Hembra
234,upaepa,Macho
114,lugaea,Macho
272,udaeeouxaela,Hembra
447,zuaupa,Macho
283,uecani,Hembra
291,noeiei,Hembra
109,auoebo,Hembra
50,wa,Macho
313,uvaioo,Macho
255,vaieda,Hembra
375,zojoeesidi,Hembra
368,uyiekuezioea,Macho
234,pudewi,Hembra
207,ieiipi,Macho
315,udoedu,Hembra
334,otoapuupiedu,Macho
386,depuoakagi,Hembra
57,de,Macho
71,gudotadofe,Hembra
409,pipivudupi,Hembra
87,uoiouieyaato,Hembra
50,veooke,Hembra
76,di,Macho
203,aioofi,Macho
268,pedepusayi,Macho
313,eovepo,Hembra
278,apaupeariodo,Macho
434,oi,Macho
330,oioidi,Macho
109,eiuiseanuiea,Macho
83,xoqufi,Macho
384,vepudovota,Macho
216,iiaasu,Hembra
4,iu,Macho
97,easucaoabe,Macho
442,oteuxe,Hembra
310,vigaoi,Macho
451,aniiaa,Macho
384,ooxeau,Hembra
187,eviapeabaouo,Macho
31,ieiudeajiate,Macho
333,qu,Macho
425,isuisuegiute,Hembra
77,yaresoieoe,Macho
150,efuoto,Macho
305,upaigo,Macho
68,xueovovupi,Macho
173,siuacapaco,Hembra
7,dadopeeusi,Hembra
199,fotatideva,Hembra
392,da,Hembra
198,upoire,Macho
309,oieozeozeusu,Hembra
122,fugoeateju,Hembra
285,pooisi,Macho
332,dotivefede,Hembra
94,aduidu,Macho
55,iuaada,Macho
412,aavuao,Macho
281,cu,Macho
181,fetahadeou,Hembra
302,opoeeu,Macho
353,udoiuioeuuee,Hembra
177,ufeuuaopeaou,Hembra
10,budopa,Macho
339,pe,Macho
442,vacede,Macho
203,apoavi,Macho
405,zoricu,Macho
234,gijoqodati,Macho
174,oayogajuiu,Hembra
346,epooeiumoasa,Hembra
321,biweea,Macho
52,odueteuyuavu,Hembra
206,oo,Macho
122,qo,Hembra
400,oi,Hembra
188,ceuotoouga,Hembra
95,te,Hembra
429,uboure,Hembra
87,eabatedosa,Macho
